"gene_symbol","T41231_008","T41231_012","T41231_013","T22568_001","T22568_002","T6445_001","T6445_002","T6445_003","T6445_004","T226_002","T226_003","T226_004","T14908_002","T14908_006","T2158_013","T15959_002","T15959_003","T15959_004","T15959_005"
"CD9",132,225,259,289,79,54,35,318,223,125,141,141,219,131,66,24,22,29,48
"GNG7",23,48,41,22,8,29,27,44,31,28,16,38,38,29,27,6,8,13,19
"NDUFA1",91,137,199,87,30,80,58,109,72,114,116,144,114,74,81,26,26,44,62
"CASP10",33,60,60,37,22,50,38,50,44,37,23,55,48,28,28,12,7,16,28
"S100B",30,45,40,29,16,32,31,42,31,26,20,35,50,36,31,6,7,14,28
"PRKAR2A",42,77,78,40,14,45,34,53,38,45,41,67,55,38,46,13,12,21,31
"PEBP1",80,119,189,101,41,84,63,107,127,166,162,219,85,62,58,35,33,51,59
"FUT7",24,46,46,28,14,36,26,48,38,25,22,37,42,29,27,6,8,10,16
"TYMP",66,119,132,98,45,104,65,79,59,64,82,79,107,101,101,56,51,90,63
"AKAP1",35,67,73,38,20,36,29,60,44,34,32,51,45,35,36,11,7,13,33
"CD37",38,68,71,33,17,59,42,60,54,43,29,54,79,50,36,22,18,41,37
"SERPINH1",294,467,364,410,76,156,102,158,115,178,288,191,107,87,685,67,57,105,195
"IL3",25,48,46,21,11,32,21,44,28,22,14,32,37,26,26,5,8,10,15
"IL22",26,50,38,27,10,30,26,40,36,18,17,40,37,28,27,7,6,10,29
"NFE2L2",90,116,173,100,46,96,61,160,152,90,71,120,86,63,53,26,25,41,51
"FGCR2A/B",115,111,132,60,60,102,61,110,79,82,60,98,175,124,176,117,122,183,123
"SDHA",88,127,168,110,54,92,63,114,98,77,75,99,74,52,65,21,23,37,49
"LGR5",24,52,41,210,51,35,24,35,35,21,17,42,37,26,24,7,5,11,20
"CDC7",26,52,54,29,14,37,33,46,34,32,23,46,47,31,28,8,7,17,24
"DTX4",31,49,70,28,14,37,29,52,37,30,29,41,41,26,28,6,8,12,20
"NUF2",31,59,65,37,18,44,38,55,44,26,22,49,46,36,34,10,6,10,30
"SPO11",25,40,44,26,10,30,23,37,30,23,15,35,28,27,26,6,8,9,24
"ITGAL",27,43,45,24,14,51,37,39,29,22,19,37,49,27,27,16,14,34,20
"TTPA",29,50,49,20,15,31,27,46,33,24,18,40,37,24,24,8,8,10,23
"FGF1",26,62,46,26,12,31,31,46,38,24,21,40,44,30,27,9,8,12,26
"CACNG4",47,98,92,86,23,46,26,78,74,29,21,41,38,31,28,9,9,15,27
"HLA-B",257,406,630,510,124,582,450,424,296,328,209,356,976,1040,579,506,446,915,401
"ITGA1",36,53,102,30,13,126,77,53,38,27,88,42,81,47,78,14,12,19,28
"EGR1",46,82,69,108,41,76,51,67,54,95,34,122,144,59,74,73,37,84,62
"TNFSF13",32,53,52,29,15,44,34,53,48,28,23,50,43,28,35,11,13,18,38
